,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
1,Chevrolet Onix,17463,17652,12007,3619,3296,6234,9716,10609,11709,12203,14292,16566,135366
2,Hyundai HB20,6555,8402,7042,2837,2218,5792,7852,8489,8565,8903,9465,10433,86553
3,Chevrolet Onix Plus,8722,9123,6670,2223,1681,3040,5205,5974,7092,8619,12135,12919,83403
4,Fiat Strada,5419,5190,4799,1630,1983,3830,6564,8690,11873,10068,9614,10390,80050
5,VW Gol,6030,5944,5681,1648,1616,3908,4427,7912,9134,8473,8400,7980,71153
6,Ford Ka,7334,8183,7103,1842,1719,3404,4259,4617,5955,7492,7526,8066,67500
7,Fiat Argo,4794,5917,6071,1176,1768,3003,4756,6040,7984,7566,8455,8412,65942
8,VW T-Cross,3339,5374,4417,998,1007,5463,10211,6455,4728,5137,5562,7433,60124
9,Jeep Renegade,4325,5354,4492,1155,1293,4092,4735,5211,5748,6042,6543,7877,56867
10,Fiat Toro,5300,4474,3598,1713,1662,3029,4258,4824,5580,5949,6611,6983,53981
11,Jeep Compass,4312,4684,3059,1095,1255,3234,4786,5221,6042,6161,6155,6969,52973
12,Renault Kwid,6739,5813,4109,1622,1818,3547,4274,2260,4009,5022,4260,6003,49476
13,Chevrolet Tracker,957,1337,1907,1395,1564,4075,6070,5899,6403,6595,6427,6749,49378
14,Hyundai Creta,3734,4464,3484,615,1123,3277,4017,4434,5402,5354,5218,6638,47760
15,Fiat Mobi,4316,4678,3527,933,992,2631,3487,4275,5447,5098,5711,5523,46618
16,VW Polo,5593,5517,3774,1065,1570,2955,3610,3427,3360,3455,3802,3716,41844
17,Toyota Corolla,3932,4515,3643,1335,1374,2183,3265,3196,3336,4240,5017,5047,41083
18,Nissan Kicks,3815,4955,3597,785,780,2335,2418,3202,4025,3966,3429,3137,36444
19,Honda HR-V,3321,2989,2761,551,952,2478,2377,2795,3314,3586,3700,3691,32515
20,Toyota Hilux,3311,3125,2971,1762,1444,1712,2327,2690,3578,3120,3048,3307,32395
21,VW Saveiro,3255,3188,2667,1090,676,1613,2828,3197,3050,3117,2977,3310,30968
22,VW Virtus,3136,3047,2562,653,962,1933,2642,3240,3177,3480,3179,2876,30887
23,Chevrolet S10,2403,1781,1582,1100,1267,1443,1568,2063,3149,3401,3675,3210,26642
24,Renault Sandero,3138,4052,3303,554,788,1362,2005,1659,2795,2420,2377,1894,26347
25,Ford Ka Sedan,3148,3052,3627,924,432,827,2253,1947,2336,2542,2316,2340,25744
26,VW Voyage,1562,1694,1340,429,601,1198,1673,2455,2493,2988,3425,4257,24115
27,Ford EcoSport,2238,2440,2050,580,851,1737,2078,2106,2070,2216,2426,3241,24033
28,Hyundai HB20S,2073,2654,1778,702,824,1597,2031,2259,1845,2330,2705,3186,23984
29,Fiat Uno,1138,1274,1104,308,630,1107,1547,5,3334,32,2977,2,13458
30,Toyota Yaris,2608,2487,1700,445,526,1242,1415,1783,1894,2178,2400,2754,21432
31,Honda Civic,1589,1910,1356,457,664,1418,1230,1847,2296,2463,2350,2869,20449
32,VW Fox/CrossFox,2958,2183,1404,313,507,957,1776,1573,2039,2366,2229,2078,20383
33,Ford Ranger,1637,1316,1560,1070,1400,1736,1729,1279,1685,1700,2321,2403,19836
34,Renault Duster,1153,720,1015,1015,1015,1921,1422,1197,1831,2460,2618,3110,19477
35,Fiat Fiorino,862,1412,1328,232,555,867,1354,2099,2093,2635,2588,1827,17852
36,VW Nivus,0,0,0,0,0,0,488,2149,3203,3124,3149,4129,16242
37,Fiat Cronos,1990,1360,1557,862,597,1096,1337,1289,1168,1605,1775,1531,16167
38,Toyota Yaris Sedan,1539,1730,1165,343,351,806,1049,1435,1787,1790,1901,2235,16131
39,Chevrolet Spin,1517,1597,1274,416,511,1436,1831,1585,1479,1373,1372,1271,15662
40,Renault Logan,1633,1735,1264,256,279,1043,1310,583,1628,1312,1529,1213,13785
41,Honda Fit,1513,1734,1274,202,362,1205,1181,1192,1417,1236,916,602,12834
42,Renault Captur,956,950,1117,384,322,1367,1388,757,578,589,854,1610,10872
43,Fiat Siena,1131,1461,913,205,274,621,856,791,1065,975,1144,1421,10857
44,Honda WR-V,1082,1073,785,134,266,669,589,866,961,1391,1429,1356,10601
45,Nissan Versa,1806,1871,1467,313,361,596,681,480,0,0,677,1293,9545
46,Citroën C4 Cactus,1190,1447,804,200,365,947,1006,762,667,696,918,527,9529
47,Mitsubishi L200,622,650,713,432,603,606,1246,927,1087,1009,901,695,9491
48,Toyota Hilux SW4,879,784,736,371,303,465,604,714,920,862,1208,1283,9129
49,Chevrolet Cruze Sedan,1739,1131,656,403,591,1062,904,507,426,525,428,0,8372
50,Caoa Chery Tiggo 5X,887,1036,1192,235,156,452,557,662,793,881,824,1093,8768