Modelo do Veículo,Ano-Modelo,Marca,Preço Médio FIPE (R$)
BYD Dolphin,2025,BYD,150000
BYD Dolphin Mini,2025,BYD,92000
BYD Song Plus DM-i,2025,BYD,180000
BYD Song Pro,2025,BYD,120000
CAOA Chery Tiggo 5X,2025,CAOA,120000
CAOA Chery Tiggo 7,2025,CAOA,120000
CAOA Chery Tiggo 8,2025,CAOA,120000
Chevrolet Cruze Sedan,2020,Chevrolet,67000
Chevrolet Montana,2025,Chevrolet,120000
Chevrolet Onix,2025,Chevrolet,92000
Chevrolet Onix Plus,2025,Chevrolet,100000
Chevrolet S10,2025,Chevrolet,250000
Chevrolet Spin,2025,Chevrolet,115000
Chevrolet Tracker,2025,Chevrolet,135000
Citroën Basalt,2025,Citroën,105000
Citroën C3,2025,Citroën,83000
Citroën C4 Cactus,2022,Citroën,76100
Fiat Argo,2025,Fiat,85000
Fiat Cronos,2025,Fiat,93000
Fiat Fastback,2025,Fiat,138000
Fiat Fiorino,2025,Fiat,112000
Fiat Grand Siena,2021,Fiat,35100
Fiat Mobi,2025,Fiat,75000
Fiat Pulse,2025,Fiat,120000
Fiat Siena,2020,Fiat,30700
Fiat Strada,2025,Fiat,110000
Fiat Toro,2025,Fiat,165000
Fiat Uno,2021,Fiat,30100
Ford EcoSport,2020,Ford,43600
Ford Ka,2020,Ford,29000
Ford Ranger,2025,Ford,255000
GWM Haval H6,2025,GWM,214000
Honda City,2025,Honda,120000
Honda Civic,2021,Honda,87800
Honda Fit,2020,Honda,41900
Honda HR-V,2025,Honda,160000
Honda WR-V,2021,Honda,51400
Hyundai Creta,2025,Hyundai,145000
Hyundai HB20,2025,Hyundai,90000
Hyundai HB20S,2025,Hyundai,96000
Jeep Commander,2025,Jeep,240000
Jeep Compass,2025,Jeep,185000
Jeep Renegade,2025,Jeep,130000
Mitsubishi L200,2023,Mitsubishi,194100
Nissan Frontier,2023,Nissan,194100
Nissan Kicks,2025,Nissan,130000
Nissan Versa,2023,Nissan,95100
Peugeot 208,2024,Peugeot,79200
RAM Rampage,2025,RAM,120000
Renault Captur,2020,Renault,67000
Renault Duster,2025,Renault,118000
Renault Kardian,2025,Renault,112000
Renault Kwid,2025,Renault,74000
Renault Logan,2022,Renault,40900
Renault Master,2025,Renault,120000
Renault Oroch,2024,Renault,93400
Renault Sandero,2022,Renault,42300
Toyota Corolla,2025,Toyota,160000
Toyota Corolla Cross,2025,Toyota,180000
Toyota Hilux,2025,Toyota,260000
Toyota Hilux SW4,2023,Toyota,301000
Toyota Yaris,2024,Toyota,84600
Volkswagen Fox,2021,Volkswagen,38900
Volkswagen Gol,2022,Volkswagen,84600
Volkswagen Nivus,2025,Volkswagen,135000
Volkswagen Polo,2025,Volkswagen,95000
Volkswagen Saveiro,2025,Volkswagen,98000
Volkswagen T-Cross,2025,Volkswagen,140000
Volkswagen Taos,2024,Volkswagen,169100
Volkswagen Tera,2025,Volkswagen,120000
Volkswagen Virtus,2025,Volkswagen,115000
Volkswagen Voyage,2022,Volkswagen,45800